url_chaine	nom chaine	url groupe	nom groupe
https://hotels.ctrip.com/brand/h1961/	兰兹酒店	https://hotels.ctrip.com/brand/g1197	深圳兰兹酒店集团
https://hotels.ctrip.com/brand/h1962/	Lifestyle Retreats	https://hotels.ctrip.com/brand/g1198	生活方式修养酒店
https://hotels.ctrip.com/brand/h1965/	Bobobox	https://hotels.ctrip.com/brand/g1201	波波箱
https://hotels.ctrip.com/brand/h1993/	Ilunion Hotels	https://hotels.ctrip.com/brand/g1222	Ilunion Hotels
https://hotels.ctrip.com/brand/h2016/	锦顺天华酒店	https://hotels.ctrip.com/brand/g1238	云之尚
https://hotels.ctrip.com/brand/h2040/	A&O	https://hotels.ctrip.com/brand/g1259	A&O
https://hotels.ctrip.com/brand/h2041/	Inwood	https://hotels.ctrip.com/brand/g1260	Inwood
https://hotels.ctrip.com/brand/h2042/	Kipriotis	https://hotels.ctrip.com/brand/g1261	Kipriotis
https://hotels.ctrip.com/brand/h2043/	Karamolegos	https://hotels.ctrip.com/brand/g1262	Karamolegos
https://hotels.ctrip.com/brand/h2044/	Andronis Hotels	https://hotels.ctrip.com/brand/g1263	Andronis Hotels
https://hotels.ctrip.com/brand/h2045/	Grecotel	https://hotels.ctrip.com/brand/g1264	Grecotel
https://hotels.ctrip.com/brand/h2046/	Mitsis	https://hotels.ctrip.com/brand/g1265	Mitsis
https://hotels.ctrip.com/brand/h2047/	Golden Home Holidays	https://hotels.ctrip.com/brand/g1266	Golden Home Holidays
https://hotels.ctrip.com/brand/h2048/	Philoxenia Collection	https://hotels.ctrip.com/brand/g1267	Philoxenia Collection
https://hotels.ctrip.com/brand/h2049/	Maistra	https://hotels.ctrip.com/brand/g1268	Maistra
https://hotels.ctrip.com/brand/h2050/	Suncani Hvar	https://hotels.ctrip.com/brand/g1269	Suncani Hvar
https://hotels.ctrip.com/brand/h2051/	Hersonissos Group Hotels	https://hotels.ctrip.com/brand/g1270	Hersonissos Group Hotels
https://hotels.ctrip.com/brand/h2052/	Amalia	https://hotels.ctrip.com/brand/g1271	Amalia
https://hotels.ctrip.com/brand/h2053/	Airotel	https://hotels.ctrip.com/brand/g1272	Airotel
https://hotels.ctrip.com/brand/h2054/	MP hotels	https://hotels.ctrip.com/brand/g1273	MP hotels
https://hotels.ctrip.com/brand/h2055/	Sunnyseeker Hotels	https://hotels.ctrip.com/brand/g1274	Sunnyseeker Hotels
https://hotels.ctrip.com/brand/h2057/	Bluesun	https://hotels.ctrip.com/brand/g1276	Bluesun
https://hotels.ctrip.com/brand/h2059/	Myconian Collection	https://hotels.ctrip.com/brand/g1278	Myconian Collection
https://hotels.ctrip.com/brand/h2060/	Domotel	https://hotels.ctrip.com/brand/g1279	Domotel
https://hotels.ctrip.com/brand/h2061/	Zeus Hotels	https://hotels.ctrip.com/brand/g1280	Zeus Hotels
https://hotels.ctrip.com/brand/h2062/	KD hotels	https://hotels.ctrip.com/brand/g1281	KD hotels
https://hotels.ctrip.com/brand/h2071/	Vacancéole	https://hotels.ctrip.com/brand/g1288	Vacancéole
https://hotels.ctrip.com/brand/h2072/	Helzear	https://hotels.ctrip.com/brand/g1289	Helzear
https://hotels.ctrip.com/brand/h2073/	Cle group	https://hotels.ctrip.com/brand/g1290	Cle group
https://hotels.ctrip.com/brand/h2074/	SANA Hotels	https://hotels.ctrip.com/brand/g1291	SANA Hotels
https://hotels.ctrip.com/brand/h2080/	Montcalm Hotels	https://hotels.ctrip.com/brand/g1297	Shaftesbury Hotels
https://hotels.ctrip.com/brand/h2081/	Park Grand Hotels	https://hotels.ctrip.com/brand/g1297	Shaftesbury Hotels
https://hotels.ctrip.com/brand/h2082/	Shaftesbury Hotels	https://hotels.ctrip.com/brand/g1297	Shaftesbury Hotels
https://hotels.ctrip.com/brand/h2084/	Cambridge LETS	https://hotels.ctrip.com/brand/g1299	Cambridge LETS
https://hotels.ctrip.com/brand/h2086/	Citystay	https://hotels.ctrip.com/brand/g1301	Citystay
https://hotels.ctrip.com/brand/h2087/	Winterfell	https://hotels.ctrip.com/brand/g1302	Winterfell
https://hotels.ctrip.com/brand/h2089/	King's Cross Hotels Group	https://hotels.ctrip.com/brand/g1304	King's Cross Hotels Group
https://hotels.ctrip.com/brand/h2090/	Brooks	https://hotels.ctrip.com/brand/g1305	Brooks
https://hotels.ctrip.com/brand/h2091/	Week2Week	https://hotels.ctrip.com/brand/g1306	Week2Week
https://hotels.ctrip.com/brand/h2092/	Shortstay MK	https://hotels.ctrip.com/brand/g1307	Shortstay MK
https://hotels.ctrip.com/brand/h2093/	Lux Living	https://hotels.ctrip.com/brand/g1308	Lux Living
https://hotels.ctrip.com/brand/h2097/	Amedia	https://hotels.ctrip.com/brand/g1312	Amedia
https://hotels.ctrip.com/brand/h2098/	Flemings	https://hotels.ctrip.com/brand/g1313	Flemings
https://hotels.ctrip.com/brand/h2099/	Letyourflat	https://hotels.ctrip.com/brand/g1314	Letyourflat
https://hotels.ctrip.com/brand/h2101/	Azimut	https://hotels.ctrip.com/brand/g1316	Azimut
https://hotels.ctrip.com/brand/h2103/	Newhotel	https://hotels.ctrip.com/brand/g1318	Newhotel
https://hotels.ctrip.com/brand/h2104/	Libertel Hotels Paris	https://hotels.ctrip.com/brand/g1319	Libertel Hotels Paris
https://hotels.ctrip.com/brand/h2105/	JJW Hotels & Resorts	https://hotels.ctrip.com/brand/g1320	JJW Hotels & Resorts
https://hotels.ctrip.com/brand/h2106/	Hotels En Ville	https://hotels.ctrip.com/brand/g1321	Hotels En Ville
https://hotels.ctrip.com/brand/h2147/	Atlantica Hotels and resorts	https://hotels.ctrip.com/brand/g1365	Atlantica Hotels and resorts
https://hotels.ctrip.com/brand/h2148/	H Hotels Collection	https://hotels.ctrip.com/brand/g1366	H Hotels Collection
https://hotels.ctrip.com/brand/h2149/	KANAVA HOTELS & RESORTS	https://hotels.ctrip.com/brand/g1367	KANAVA HOTELS & RESORTS
https://hotels.ctrip.com/brand/h2150/	Andromeda Hotels	https://hotels.ctrip.com/brand/g1368	Andromeda Hotels
https://hotels.ctrip.com/brand/h2155/	Losinj Hotels	https://hotels.ctrip.com/brand/g1373	Losinj Hotels
https://hotels.ctrip.com/brand/h2158/	Aria Hotels	https://hotels.ctrip.com/brand/g1376	Aria Hotels
https://hotels.ctrip.com/brand/h2160/	Royal Hotels & Resorts	https://hotels.ctrip.com/brand/g1378	Royal Hotels & Resorts
https://hotels.ctrip.com/brand/h2163/	Logis	https://hotels.ctrip.com/brand/g1381	Logis
https://hotels.ctrip.com/brand/h2171/	VIP	https://hotels.ctrip.com/brand/g1389	VIP
https://hotels.ctrip.com/brand/h2172/	Gruppo UNA	https://hotels.ctrip.com/brand/g1390	Gruppo UNA
https://hotels.ctrip.com/brand/h2210/	Stella	https://hotels.ctrip.com/brand/g1425	Stella
https://hotels.ctrip.com/brand/h2349/	MK hotels	https://hotels.ctrip.com/brand/g1556	MK hotels
https://hotels.ctrip.com/brand/h2569/	Aspen Holiday Parks	https://hotels.ctrip.com/brand/g1709	Aspen Holiday Parks
https://hotels.ctrip.com/brand/h2602/	匠旅系列 (WorldHotels Crafted)	https://hotels.ctrip.com/brand/g30	贝斯特韦斯特国际酒店集团
https://hotels.ctrip.com/brand/h2717/	Eagle View	https://hotels.ctrip.com/brand/g1804	Eagle View
https://hotels.ctrip.com/brand/h2750/	Leptos Calypso Hotels Public Ltd	https://hotels.ctrip.com/brand/g1832	Leptos Calypso Hotels Public Ltd
https://hotels.ctrip.com/brand/h2927/	悦盟	https://hotels.ctrip.com/brand/g1961	悦盟（旅悦集团代运营品牌）
https://hotels.ctrip.com/brand/h3039/	SISTERHOTELS	https://hotels.ctrip.com/brand/g2052	SISTERHOTELS
https://hotels.ctrip.com/brand/h3044/	Labranda hotels & Resorts	https://hotels.ctrip.com/brand/g1273	MP hotels
https://hotels.ctrip.com/brand/h3045/	Design Plus Hotels	https://hotels.ctrip.com/brand/g1273	MP hotels
https://hotels.ctrip.com/brand/h3046/	Kairaba hotels & resorts	https://hotels.ctrip.com/brand/g1273	MP hotels
https://hotels.ctrip.com/brand/h3047/	Lemon & soul Hotels	https://hotels.ctrip.com/brand/g1273	MP hotels
https://hotels.ctrip.com/brand/h3054/	WH – Collection	https://hotels.ctrip.com/brand/g2003	Waringin Hospitality Hotel Group
https://hotels.ctrip.com/brand/h3248/	Pembrokeshire Property	https://hotels.ctrip.com/brand/g2219	Pembrokeshire Property
