TYPE,Notes,Types_chambres,Durées_sejours,Mois_sejours,Annees_sejours,Types_voyageurs,Nationalites,Dates_commentaires,Jour,Mois,Annee,Titres_commentaires,Commentaires
APPARTHOTEL,7,Studio Duplex,2,octobre,2021,Famille,France,11 octobre 2021,11,10,2021,Sympa,"A aimé · L'appartement est bien situé par rapport au magasin, gare, bus, balade autour L'appartement était sympa, la chambre avec salle de bain sympa, petite cuisine très mignonne Propriétaire à l'écoute et sympa, par contre renseigner l'étage, le numéro de porte et ou sont les clés quand quelqu'un loue avant l'arrivée serait un plusN'a pas aimé · Malheureusement l'appartement est bien situé, mais nuit très agité, très bruyante quand il y a une soirée de match de rugby, ou les étudiants ou jeune font la fête, jusqu'à pas d'heure en face… j'ai pas du tout apprécié surtout quand cela ce fini entre 5 et 6h du matin. C'est très mal isoler :/ Appartement très froid, dans la chambre aucune prise pour brancher la télé là ou elle est située,"
APPARTHOTEL,9,Studio Duplex,7,août,2021,Famille,France,27 août 2021,27,8,2021,Fabuleux ,"A aimé · Accueil très sympathique, propriétaire présent, disponible et très cordialEmplacement idéal dans le vieux Bayonne près de commerces, restaurants et terrasses."
APPARTHOTEL,7,Studio Duplex,6,août,2021,Famille,France,9 août 2021,9,8,2021,Bon séjour dans la ville de Bayonne.,"A aimé · L'appartement est bien situé dans le centre ville (rue piétonne - restaurants et magasins).Parkings vraiment pas chers à proximité. Appartement en duplex, bien équipé - pour 3 ou 4 personnes sans problème.N'a pas aimé · Les matelas sont un peu vieux. Nettoyage des sols pas fait à l'arrivée."
APPARTHOTEL,9,Studio,7,juillet,2021,Voyageur individuel,France,25 juillet 2021,25,7,2021,Excellent séjour dans le cœur historique de la vieille ville.,"A aimé · Studio propre et confortable, en plein centre historique de la vieille ville, quartier Grand Bayonne, dans un ancien immeuble typique.Ne conviendra pas aux personnes ayant le sommeil léger, car l'immeuble est situé sur un passage très fréquenté.N'a pas aimé · Rien, tout était parfait."
APPARTHOTEL,8,Studio,5,juillet,2021,Couple,France,15 juillet 2021,15,7,2021,Très bien,A aimé · Impeccable!!
APPARTHOTEL,9,Studio Duplex,2,mars,2021,Couple,France,29 mars 2021,29,3,2021,Fabuleux ,"A aimé · Très bien situé, en plein coeur de Bayonne avec un parking très modique à proximité (parking de la Porte d'Espagne) et un hôte très serviable. Appartement rénové et bien équipé. Je recommande."
APPARTHOTEL,8,Studio Duplex,2,mars,2021,Famille,France,21 mars 2021,21,3,2021,Très bien,A aimé · Très bien équipé et situéN'a pas aimé · La salle de bain et sol chambre pas très propre
APPARTHOTEL,8,Studio Duplex,1,mars,2021,Famille,France,11 mars 2021,11,3,2021,Bien,A aimé · Appartement central très bon rapport qualité prix . Appartement tranquille bien agencé. Quartier historique très agréable.N'a pas aimé · Les communs de l’immeuble dans lequel se situe l’appartement . Immeuble ancien dont les parties communes mériteraient rénovation
APPARTHOTEL,8,Studio Duplex,1,janvier,2021,Couple,France,24 janvier 2021,24,1,2021,Très bien,"A aimé · Tout s est très bien passé pour ce séjour d 1nuit : bon emplacement, appartement fonctionnel, bien équipé et décoré . A la hauteur de nos attentes et propriétaire arrangeant pour les horaires , remise de clés . Rien à redire !"
APPARTHOTEL,7,Studio Duplex,2,octobre,2020,Famille,France,29 octobre 2020,29,10,2020,Bien ,A aimé · Studio situé au centre dans un vieil immeuble autentique ! Tous les commerces sont directement accessibles. Idéal quelques nuits pour découvrir la ville !N'a pas aimé · Literie vieillissantes (un peu mou). Doutes sur le ménage.
