EPCI	CAPACITE 2022	OUVERTURES 2022	FERMETURES 2021	EVOL NB	EVOL 2022-2021 %
CC de la Plaine de l'Ain	238	40	70	-30	-0.111940298507463
CC Bugey Sud	290	30	12	18	0.0661764705882353
CC Usses et Rhône	39	6	0	6	0.181818181818182
CA Haut - Bugey Agglomération	384	11	24	-13	-0.0327455919395466
CC Bresse et Saône	128	44	36	8	0.0666666666666667
CA du Bassin de Bourg-en-Bresse	431	45	27	18	0.0435835351089588
CC du Pays Bellegardien (CCPB)	79	20	14	6	0.0821917808219179
CC de Miribel et du Plateau	28	0	3	-3	-0.0967741935483871
CC de la Dombes	123	10	6	4	0.0336134453781514
CC Rives de l'Ain - Pays du Cerdon	162	0	6	-6	-0.0357142857142857
CC Val de Saône Centre	116	15	35	-20	-0.147058823529412
CC de la Veyle	29	5	18	-13	-0.30952380952381
CA du Pays de Gex	76	0	2	-2	-0.0256410256410257
CC Dombes Saône Vallée	72	4	0	4	0.0588235294117647
CC de la Côtière à Montluel	10	10	0	10	-
CC du Val de l'Oise	53	0	0	0	0
CA Chauny-Tergnier-La Fère	42	0	7	-7	-0.142857142857143
CA du Pays de Laon	24	0	4	-4	-0.142857142857143
CC de la Thiérache du Centre	69	18	0	18	0.352941176470588
CC du Pays de la Serre	44	20	0	20	0.833333333333333
CA de la Région de Château-Thierry	24	0	6	-6	-0.2
CC Picardie des Châteaux	27	0	0	0	0
CC du Pays du Vermandois	10	0	13	-13	-0.565217391304348
CC de la Champagne Picarde	43	15	10	5	0.131578947368421
CC du Chemin des Dames	33	9	0	9	0.375
CC des Trois Rivières	65	0	12	-12	-0.155844155844156
CC des Portes de la Thiérache	15	0	11	-11	-0.423076923076923
CC du Val de l'Aisne	58	0	0	0	0
CA du Saint-Quentinois	23	0	0	0	0
CC Thiérache Sambre et Oise	22	8	0	8	0.571428571428571
CC Retz-en-Valois	30	0	6	-6	-0.166666666666667
CA GrandSoissons Agglomération	4	4	0	4	-
CC du Canton de Charly-sur-Marne	4	4	0	4	-
CA Vichy Communauté	526	36	0	36	0.073469387755102
CC du Bocage Bourbonnais	155	16	33	-17	-0.0988372093023255
